Magasin	Année	Mois	CA
Lille	2018	01	12345.56
Lille	2018	02	6758.12
Lille	2018	03	8462.75
Lille	2018	04	7298.25
Lille	2018	05	2987.25
Arras	2018	11	5856.95
Arras	2018	12	4456.28
Arras	2019	01	5045.02
Arras	2019	02	3586.87
Arras	2019	03	8548.92
Arras	2019	04	9834.65
Arras	2019	05	10547.28
Arras	2019	06	5756.24
Arras	2019	07	3678.25
Lens	2018	09	1756.24
Lens	2018	10	4678.25
Lens	2018	11	7856.95
Lens	2018	12	9456.28
Lens	2019	01	15045.02
Lens	2019	02	13586.87
Lens	2019	03	7548.92
Lens	2019	04	4834.65
Lens	2019	05	6547.28
La Bassée	2019	02	6586.87
La Bassée	2019	03	8457.92
La Bassée	2019	04	7594.65
La Bassée	2019	05	12857.28
La Bassée	2019	06	5789.36
La Bassée	2019	07	4579.35
